Questions	Answers
About joining date\npostponement or advancement process	Request you to send\nan email with reasons to the email address [Chennai.AstraZeneca@astrazeneca.com](mailto:Chennai.AstraZeneca@astrazeneca.com) and get the confirmation for postponement or\nAdvancement
Venue/Time for joining date	"**Date** :        As per the joining date mentioned in the Offer letter\n\n\n\n\n**Time** :        9 AM \n\n\n**Location** : 11th Floor, Ramanujan IT City, Rajiv Gandhi Salai(OMR), Taramani, Chennai-600113"
Dress code	"**Acceptable Attire for HIM**\n\n\n\n\n**Formal shirts, T-shirts **\n\n\n\n\n? Collared shirts & t-shirts, Polo shirts, turtle necks \n\n\n\n\n \n\n\n\n\n**Trousers **\n\n\n\n\n? Full length formal or semi-formal trouser e.g. corduroy. \n\n\n\n\n? Jeans (with no patches, scribble, tattoo, embroidery, slits, tears, low waist, and knee length). \n\n\n\n\n \n\n\n\n\n**Shoes & Hosiery **\n\n\n\n\n? Shoes must be in good condition and neat in appearance. \n\n\n\n\n? Shoes must be closed toe and heel. \n\n\n\n\n \n\n\n\n\n**Acceptable Attire for HER**\n\n\n\n\n \n\n\n\n\n**Blouses, Shirts and Sweaters **\n\n\n\n\n? Formal shirts, t-shirts with or without collar \n\n\n\n\n? Polo shirts, turtle necks may be worn \n\n\n\n\n \n\n\n\n\n**Trousers **\n\n\n\n\n? Full length formal or semi-formal trouser \n\n\n\n\n? Casual pants/ khakis are allowed to be worn to work \n\n\n\n\n? Jeans (with no patches, scribble, tattoo, embroidery, tears and low waist) \n\n\n\n\n \n\n\n\n\n**Dresses and Skirts **\n\n\n\n\n? Business-like (A-Line, pleated, culottes, straights) \n\n\n\n\n \n\n\n\n\n**Shoes **\n\n\n\n\n? Women may wear open toe shoes i.e. dress sandal or open toe sling back or pumps or flats. \n\n\n\n\n \n\n\n\n\n**Traditional business attire**"
Documents required	* \n **ID Proof**: PAN card / Voter ID / Aadhar card (Original and 1 photo copy) - Mandatory\n* \n **Passport size photograph** : 2 Nos – Mandatory\n* \n\n\n\n\n \n\n\n\n\n          Original **passport** to be carried
How to derive net\ntake home and explanation of salary structure and tax slabs/Salary date 	Net Take Home =\nAnnual Base Salary – Deductions* \n\n\n**Deductions:**\n\n\n\n\nPF\ncontributions\n\n\n\n\nIncome\nTax (As per IT slab)\n\n\n\n\nProfessional\nTax  \n\n\n\n\nLWF\n(Labor Welfare fund)\n\n\n\n\nOther deductions\n(if any)\n
Relocation	"**Relocation:** Relocation benefits do not apply to employees who are moving from within radius of less than 100 Sq. Kms to Chennai location to Astra Zeneca. \n\n\n\n\n \n\n\n\n\nRelocation cost charges shall be borne by AZ for other location candidates and any Goods moved on own cost shall not be reimbursed,AZ shall facilitate relocation services (Home search, School search, Vehicle re-registration (NOC must) and Goods movements) only through AZ vendor and relocation shall be initiated after your joining in AZ."
Accommodation and Brokerage Fee	"Please note as per our Accommodation policy, you shall be provided with Breakfast & Stay for 14 days in company approved Guest house and also be provided with the transportation between Hotel & office during the 14 calendar days, charges shall be borne by AZ. Any other extra charges than the mentioned, shall be borne by the Employee only.\n\n \n\n\nBrokerage fee:  F**or home search, an employee can opt for house brokers of his/her choice. **\n\n\n\n\n\n**House brokerage reimbursements equivalent to 1 month rental charges up to a maximum of INR 1,00,000/- against original receipts, invoice and photocopy of rental agreement along with the PAN number of broker & landlord are payable. This payment must be paid through cheque, DD or bank transfer and the photocopy of the same to be submitted along with relocation claim form. **"
Cab facility and\nparking facilities for 2/4 wheelers on first day and process entering TRIL	Parking facility-First day of joining-Basement 1 (B1)-Astra Zeneca parking slot for 2/4-Wheeler parking.\n\n\n\n\n \n\n\n\n\nNew joiners need to inform admin team if they are parking vehicle **or** paste two wheeler/four wheeler AZ logos and Ramanujan sticker before parking at our slots or else we may not be aware and we may lock the vehicle assuming it belongs to other company employees.
Minumum Tenure for\nmovement to another role	Depends on\nthe Global career levels and is as per Internal job posting policy
Current\njob opportunities in Astra Zeneca	Current Job opportunities shall be available in the below site\n\n\n\n\n \n\n\n\n\n https://careers.astrazeneca.com/locations/india
Work from home option	The arrangement applies to all full-time employees of AZ Chennai only. company provides employees with the work from home option (WFH) on an ‘as needed basis’ and is per AZ Work from home policy
"Office timing, shifts\nand allowance"	\n \n \n \n\n**Shift **\n\n \n \n \n\n**Starts **\n\n \n \n \n\n**Ends **\n\n \n \n \n\n**Shift Allowance / Per Day **\n\n \n \n \n \n \n\n1 \n\n \n \n \n\n6:00 AM \n\n \n \n \n\n3.00PM \n\n \n \n \n\nINR 600 \n\n \n \n \n \n \n\nRegular \n\n \n \n \n\n9:00 AM \n\n \n \n \n\n06.00PM \n\n \n \n \n\nNA \n\n \n \n \n \n \n\n2 \n\n \n \n \n\n2.00PM \n\n \n \n \n\n11.00PM \n\n \n \n \n\nINR 500 \n\n \n \n \n \n \n\n3 \n\n \n \n \n\n10:00 PM \n\n \n \n \n\n07.00AM \n\n \n \n \n\nINR 850 \n\n \n \n
Onsite opportunity	Astra Zeneca Chennai does not provide Onsight opportunity but employees may have short term project depending on the business need
